date,sig,city,temp_type,ticker,bet,line,first_seen_est,last_seen_est,end_seen_est,duration_seconds,scan_count,max_edge_pct,last_edge_pct,close_reason
2026-03-07,2026-03-07|KXHIGHTSFO-26MAR07-B74.5|BUY NO,San Francisco,high,KXHIGHTSFO-26MAR07-B74.5,BUY NO,74F to 75F,2026-03-07 03:46:00 PM EST,2026-03-07 03:46:00 PM EST,2026-03-07 03:50:25 PM EST,0,1,17.96,17.96,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSEA-26MAR07-B53.5|BUY NO,Seattle,high,KXHIGHTSEA-26MAR07-B53.5,BUY NO,53F to 54F,2026-03-07 03:50:25 PM EST,2026-03-07 03:50:25 PM EST,2026-03-07 03:54:00 PM EST,0,1,20.98,20.98,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-B50.5|BUY NO,New York City,high,KXHIGHNY-26MAR07-B50.5,BUY NO,50F to 51F,2026-03-07 03:54:00 PM EST,2026-03-07 03:54:00 PM EST,2026-03-07 03:57:00 PM EST,0,1,22.4,22.4,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTMIN-26MAR07-T40|BUY NO,Minneapolis,high,KXHIGHTMIN-26MAR07-T40,BUY NO,39F or below,2026-03-07 04:03:00 PM EST,2026-03-07 04:03:00 PM EST,2026-03-07 04:07:00 PM EST,0,1,57.0,57.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-B50.5|BUY NO,New York City,high,KXHIGHNY-26MAR07-B50.5,BUY NO,50F to 51F,2026-03-07 04:03:00 PM EST,2026-03-07 04:11:00 PM EST,2026-03-07 04:14:00 PM EST,480,3,27.4,26.4,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHPHIL-26MAR07-T54|BUY YES,Philadelphia,high,KXHIGHPHIL-26MAR07-T54,BUY YES,53F or below,2026-03-07 04:14:00 PM EST,2026-03-07 04:14:00 PM EST,2026-03-07 04:20:47 PM EST,0,1,45.33,45.33,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B45.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B45.5,BUY NO,45F to 46F,2026-03-07 04:14:00 PM EST,2026-03-07 04:14:00 PM EST,2026-03-07 04:20:47 PM EST,0,1,22.88,22.88,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-B52.5|BUY YES,New York City,high,KXHIGHNY-26MAR07-B52.5,BUY YES,52F to 53F,2026-03-07 04:14:00 PM EST,2026-03-07 04:14:00 PM EST,2026-03-07 04:20:47 PM EST,0,1,7.68,7.68,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTCHI-26MAR07-T37|BUY YES,Chicago,low,KXLOWTCHI-26MAR07-T37,BUY YES,36F or below,2026-03-07 04:20:47 PM EST,2026-03-07 04:24:00 PM EST,2026-03-07 04:27:00 PM EST,193,2,9.1,9.1,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTMIN-26MAR07-T40|BUY NO,Minneapolis,high,KXHIGHTMIN-26MAR07-T40,BUY NO,39F or below,2026-03-07 04:24:00 PM EST,2026-03-07 04:27:00 PM EST,2026-03-07 04:30:12 PM EST,180,2,53.02,43.42,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTAUS-26MAR07-T55|BUY NO,Austin,low,KXLOWTAUS-26MAR07-T55,BUY NO,54F or below,2026-03-07 03:46:00 PM EST,2026-03-07 04:30:12 PM EST,2026-03-07 04:34:00 PM EST,2653,13,18.4,16.39,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B47.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B47.5,BUY NO,47F to 48F,2026-03-07 04:27:00 PM EST,2026-03-07 04:34:00 PM EST,2026-03-07 04:38:00 PM EST,420,3,32.0,30.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTCHI-26MAR07-T37|BUY YES,Chicago,low,KXLOWTCHI-26MAR07-T37,BUY YES,36F or below,2026-03-07 04:30:12 PM EST,2026-03-07 04:38:00 PM EST,2026-03-07 04:41:00 PM EST,467,3,10.1,9.1,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTMIN-26MAR07-T40|BUY NO,Minneapolis,high,KXHIGHTMIN-26MAR07-T40,BUY NO,39F or below,2026-03-07 04:34:00 PM EST,2026-03-07 04:38:00 PM EST,2026-03-07 04:41:00 PM EST,240,2,48.41,45.41,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-B48.5|BUY NO,Denver,high,KXHIGHDEN-26MAR07-B48.5,BUY NO,48F to 49F,2026-03-07 04:38:00 PM EST,2026-03-07 04:38:00 PM EST,2026-03-07 04:41:00 PM EST,0,1,10.0,10.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B47.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B47.5,BUY NO,47F to 48F,2026-03-07 04:45:00 PM EST,2026-03-07 04:45:00 PM EST,2026-03-07 04:48:00 PM EST,0,1,27.0,27.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSFO-26MAR07-B72.5|BUY NO,San Francisco,high,KXHIGHTSFO-26MAR07-B72.5,BUY NO,72F to 73F,2026-03-07 04:45:00 PM EST,2026-03-07 04:45:00 PM EST,2026-03-07 04:48:00 PM EST,0,1,19.43,19.43,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHPHIL-26MAR07-B54.5|BUY NO,Philadelphia,high,KXHIGHPHIL-26MAR07-B54.5,BUY NO,54F to 55F,2026-03-07 04:51:00 PM EST,2026-03-07 04:51:00 PM EST,2026-03-07 04:54:00 PM EST,0,1,33.0,33.0,edge_dropped_or_filtered
